	id	title	freq	cluster
116	116	##.##.##	2455	12
117	117	histologie	2438	15
118	118	radioterapie byla provedena	2388	1
119	119	ki##	2356	5
120	120	operace provedena	2199	2
121	121	no	2139	8
122	122	vedlejsi dg.	2124	10
123	123	dle potreby	2112	4
124	124	popis histologie	2101	15
125	125	chronicka toxicita	2099	7
126	126	interpretace	2073	5
127	127	ptnm(#)	2049	15
128	128	histol.	2036	15
129	129	zapis z mk	1986	0
130	130	dg.	1954	15
131	131	dop	1938	17
132	132	prubeh lecby	1923	17
133	133	konzultoval	1886	7
134	134	aa	1860	9
135	135	laboratorni objednavky	1748	8
136	136	 zaver	1670	15
137	137	poznamka	1630	5
138	138	re	1605	2
139	139	kontroloval	1529	0
140	140	histol	1511	15
141	141	cht/rt v predoperacnim obdobi	1481	8
142	142	chir. kontrola	1477	6
143	143	zadanka	1473	2
144	144	rodina otce	1334	14
145	145	snb leve axily	1327	15
146	146	loziska	1318	5
147	147	##-##	1308	11
148	148	komorbidity	1282	10
149	149	sourozenci	1266	14
150	150	peroperacni nalez	1254	6
151	151	prediktivni faktory	1213	15
152	152	her-# ish	1200	5
153	153	deti	1182	14
154	154	#-#	1163	11
155	155	snb prave axily	1158	15
156	156	morfologie	1156	5
157	157	pro probandku	1145	0
158	158	predmet vysetreni a lokalizace	1137	6
159	159	echo-srdce	1122	15
160	160	tnm(#)	1111	5
161	161	ae	1095	1
162	162	geneticky zaver	1091	14
163	163	rodinna anamneza	1058	14
164	164	proliferacni antigen ki-##	1057	5
165	165	ar	1019	5
166	166	duvod modifikace davek	1018	5
167	167	mk	982	17
168	168	doporuceni mk	972	17
169	169	usg	940	2
170	170	ea	933	8
171	171	posledni medikace	922	4
172	172	vys	914	12
173	173	ki## (automat)	888	5
174	174	doporucene leky	887	4
175	175	##.#.#### v #	876	19
176	176	obj. vyska	846	6
177	177	sae	799	8
178	178	interkurence.	797	10
179	179	klinicka studie	786	5
180	180	##.#.#### v ##	771	19
181	181	po fixaci	750	18
182	182	pet nalez	745	2
183	183	per rectum	744	6
184	184	uzliny	738	5
185	185	##.##.#### ##	706	2
186	186	akutni toxicita	704	7
187	187	= pouceni pro aplikaci	699	4
188	188	ad #) ##-##(mc)	698	11
189	189	histol. zaver	688	15
190	190	proliferacni antigen ki-## (%)	687	5
191	191	pozn.	681	0
192	192	ostatni dg	680	10
193	193	medikace pri propusteni	678	4
194	194	mammy	675	13
195	195	#-##	671	11
196	196	th.	668	6
197	197	planovana kontrola	661	5
198	198	ambulantni objednavky	655	17
199	199	ad #) #-#	642	11
200	200	objednavky	632	17
201	201	ad #) ##-##	622	11
202	202	kontrola	616	6
203	203	plan	616	17
204	204	lokalni nalez	615	13
205	205	pater	607	6
206	206	indikace	599	19
207	207	hist.	582	15
208	208	premedikace	581	4
209	209	urazy	572	10
210	210	objednany erymasy/mnozstvi	570	8
211	211	##.#.#### ##	566	2
212	212	aplikovana davka	565	5
213	213	<empty>	565	15
214	214	perikard	560	5
215	215	re.	559	2
216	216	doppler	555	5
217	217	prevaz	554	6
218	218	genet. konzultace	548	9
219	219	rtg plic	542	19
220	220	#d	538	5
221	221	vysetritelnost	525	5
222	222	ct nalez	515	2
223	223	ostat. dg.	514	10
224	224	geneticka konzultace	512	0
225	225	mamma dx	511	13
226	226	pri prujmu	507	4
227	227	uz vag.	503	6
228	228	dopplerovska mereni	498	5
229	229	pu	495	5
230	230	plax	495	7
231	231	echo srdce	495	19
232	232	mi	494	5
233	233	pravid.amb. kontrola	492	5
234	234	ozareny objem	492	5
235	235	tri	491	5
236	236	diagnosticka rozvaha a zaver	479	8
237	237	vag.	469	6
238	238	##.#.#### #	461	2
239	239	transfuze	460	8
240	240	def. histologie	458	3
241	241	predchozi histologicka vysetreni	456	0
242	242	ff	455	9
243	243	ad #) #	443	11
244	244	hlavni operacni diagnoza	442	0
245	245	klinicky	441	6
246	246	ad #) #-##	439	11
247	247	s_cea	430	12
248	248	souhlasi s epiduralnim katetrem	420	8
249	249	objektivni nalez	418	13
250	250	snb	417	15
251	251	nul	416	17
252	252	labo	414	5
253	253	vlevo	404	15
254	254	pu reg	402	5
255	255	ord.	401	17
256	256	##-##(mc)	396	11
257	257	tri reg	392	5
258	258	rizikove faktory	390	5
259	259	cave	385	9
260	260	mi reg	385	5
261	261	provedena vysetreni	384	19
262	262	du	384	13
263	263	vnpi	384	0
264	264	operacni sal	379	5
265	265	prava mamma	376	15
266	266	posledni gyn vys.	375	19
267	267	pozadavek	371	19
268	268	pet	370	2
269	269	mamma sin	368	13
270	270	vnpi + vek	359	15
271	271	#.#.#### v #	358	19
272	272	pro vysledek	355	5
273	273	#ac	354	5
274	274	dopor.mk	353	17
275	275	s histol.nalezem	347	15
276	276	predoperacni anesteziologicke vysetreni	344	0
277	277	ucel ambulantni kontroly	343	3
278	278	peroperacne	341	11
279	279	vedl. choroby	339	10
280	280	vedlejsi dg	338	10
281	281	definitivni histologie	334	15
282	282	vedl. dg.	331	10
283	283	planovany vykon	328	17
284	284	#.#.#### v ##	327	19
285	285	pozadovane vysetreni	326	17
286	286	asistence	320	5
287	287	 re	316	2
288	288	gynekologie	316	19
289	289	pri aftech	314	4
290	290	biopsie	309	0
291	291	snimek hrudniku	304	2
292	292	boost mam dx	300	5
293	293	ord	298	17
294	294	chemoterapie	294	4
295	295	dolni koncetiny	290	6
296	296	leva mamma	289	15
297	297	boost mam sin	289	5
298	298	dopor. mk	287	17
299	299	vek	284	13
300	300	objekt	282	13
301	301	priprava	276	4
302	302	vysetritelnost pacienta	275	5
303	303	ki##(automat)	273	8
304	304	komentar	272	17
305	305	##.##.#### v #	268	19
306	306	prsy	267	13
307	307	ad #) #(mc)	265	11
308	308	zevni genital	264	6
309	309	dokumentace	264	5
310	310	lokalne	263	13
311	311	covid anamn	261	8
312	312	fdg-pet	261	2
313	313	subjekt	260	1
314	314	p_c-reaktivni protein	259	12
315	315	lymfoscintigrafie ##mtc nanocollem	259	2
316	316	klin.	258	6
317	317	sumacni snimek hrudniku	257	2
318	318	mg	256	19
319	319	objektivne	256	13
320	320	psm	253	5
321	321	lymfangioinvaze	251	15
322	322	kuze	249	13
323	323	hist	249	15
324	324	ad #) leva mamma	243	11
325	325	ihc score	242	8
326	326	status localis	241	13
327	327	ad #) #-#(mc)	241	11
328	328	operace ##.#.####	240	8
329	329	anam.	239	8
330	330	ad #) ##(mc)	238	11
331	331	dop mk	234	17
332	332	echo	234	19
333	333	anamneza	233	8
334	334	cizi dokumentace z data	233	19
335	335	lu leve axily	231	5
336	336	terapeuticky vykon	227	8
337	337	komplikace	226	8
338	338	ad #) prava mamma	224	11
339	339	ebr k vykonu	223	8
340	340	periferni lu	223	6
341	341	 b_erytrocyty	223	12
342	342	ad #) #-##(mc)	223	11
343	343	dnes bez ki zahajeni	222	17
344	344	monitorace pri vykonu	220	5
345	345	phk	218	13
346	346	klin	216	6
347	347	#) leva mamma	215	18
348	348	##.##.#### v ##	214	19
349	349	seznam zahrnutych genu	213	16
350	350	lu prave axily	213	5
351	351	* lab. vysetreni	210	12
352	352	obj. . vyska	210	6
353	353	doba extrakce endoskopu (min)	210	8
354	354	disekat axily	208	15
355	355	mk doporuceni	208	17
356	356	vpravo	208	15
357	357	pc_protrombin.test-inr	206	12
358	358	anam	205	8
359	359	#) prava mamma	205	18
360	360	prijem na oddeleni	202	5
361	361	mallampati skore	202	3
362	362	#d (mm)	201	5
363	363	##.##.####	199	19
364	364	operacni tym	196	5
365	365	lhk	196	13
366	366	efekt	195	17
367	367	ad #) ##	194	11
368	368	nalez z ct obrazu	194	2
369	369	psa	194	8
370	370	histologicky	193	15
371	371	staging	191	19
372	372	ps	187	13
373	373	#.#.#### ##	186	2
374	374	pozn	185	3
375	375	##.#.## provedena operace	182	8
376	376	##.#.####	182	19
377	377	uz bricha	181	19
378	378	duvod navstevy	180	3
379	379	kuze chronicka	180	7
380	380	nottingham/who grade	180	5
381	381	 hrudnik	180	2
382	382	*nalez [ep	180	2
383	383	mammae	177	13
384	384	matrim	175	8
385	385	pravostranna mastectomie	168	15
386	386	lab	167	5
387	387	dalsi navsteva	167	4
388	388	protokol	167	2
389	389	ter.	167	6
390	390	covid	166	8
391	391	dalsi dg.	165	3
392	392	#.##.#### v #	163	19
393	393	kelimek c. #	163	2
394	394	 ##.#.#### ##	162	2
395	395	benigni leze	162	19
396	396	ev. mozna redukce davek	162	4
397	397	reresekat	161	0
398	398	uz	159	19
399	399	srdce	158	6
400	400	laboratorne	158	12
401	401	druhe a dalsi podani	158	4
402	402	vedlejsi nalez	158	0
403	403	#.#.#### #	157	2
404	404	uz mamm	157	19
405	405	scinti skeletu	157	19
406	406	davka	155	8
407	407	celkova doba lecby priblizne	155	4
408	408	chir. vysetreni	155	3
409	409	subjektivne	155	1
410	410	objednany erymasy/ mnozstvi	155	8
411	411	 operace	154	10
412	412	doba vykonu (min)	154	6
413	413	lok	154	13
414	414	dopor mk	153	17
415	415	boost dx	150	5
416	416	epidemiologicka anamn.	150	8
417	417	anamnesticke informace	150	4
418	418	echokg	150	19
419	419	magneticka rezonance [ep	149	2
420	420	p.m.	149	6
421	421	#.##.#### v ##	147	19
422	422	pritomni	145	5
423	423	typ planovani	144	5
424	424	strategie	143	3
425	425	boost sin	142	5
426	426	denzitometrie	142	19
427	427	navyky	142	9
428	428	sono vag.	141	6
429	429	zapis z mamarni komise	139	0
430	430	mamma l.dx.	139	13
431	431	stav vyzivy	138	6
432	432	pri nevolnosti	138	4
433	433	dopor	138	17
434	434	intekurence	138	10
435	435	kolonoskopie	138	6
436	436	- docasne doporucena medikace	135	4
437	437	ntl	134	19
438	438	kontrola po operaci	134	5
439	439	dle mk	133	15
440	440	tl	133	19
441	441	bolesti	130	8
442	442	rtg s+p	129	2
443	443	konsilium (neurologie)	129	5
444	444	laboratorni vysetreni	129	12
445	445	abuzus	128	9
446	446	stav axilarnich uzlin	127	19
447	447	s nalezem	126	15
448	448	n#	126	8
449	449	steroidni receptory	126	0
450	450	dop. mk	125	17
451	451	spirometrie	125	19
452	452	pro matku	125	0
453	453	mamma sin d	124	8
454	454	lok.	124	13
455	455	gyn	124	6
456	456	mamame	123	13
457	457	nutricni dotaznik	123	9
458	458	soubezna lecba	123	5
459	459	soucasna medikace	122	9
460	460	mamma l.sin.	122	13
461	461	anesteziologicky tym	121	8
462	462	llab. vysetreni	121	12
463	463	dalsi nalez	121	0
464	464	mamy	120	13
465	465	pro dceru	120	0
466	466	 p_c-reaktivni protein	120	12
467	467	obj.vyska	120	6
468	468	prubeh radioterapie	119	1
469	469	##.#.#### operater	119	8
470	470	#. dg	118	8
471	471	zajisteni dc	118	5
472	472	fyzicka vykonnost	118	8
473	473	op	118	8
474	474	rizikove faktory lekovych problemu	117	5
475	475	 ##.#.#### #	116	2
476	476	#.#.####	116	19
477	477	pacientka po provedene	115	0
478	478	osetrujici lekar	114	5
479	479	dale vysledek zaslat	113	5
480	480	objednany erymasy	113	3
481	481	citlivost kvalitativni	113	5
482	482	kultivace za ## hod.	112	6
483	483	denzitometrie #/####	112	19
484	484	z.	111	2
485	485	duvod	110	3
486	486	tm	110	3
487	487	infekcni zloutenka	109	8
488	488	souhrn predchozich vysledku	108	2
489	489	instrumentarka	108	5
490	490	u__ph	108	12
491	491	zhodnoceno u mk	108	0
492	492	ucel navstevy	106	5
493	493	na	105	8
494	494	uz vag	104	6
495	495	hemokult	102	19
496	496	##.##.#### #	101	2
497	497	zaver a doporuceni	101	17
498	498	lk(mm) - ivs	101	5
499	499	patologie - biopticke vysetreni	101	0
500	500	nejiste leze	100	19
501	501	echokg ##/#/##	99	15
502	502	uraz	99	8
503	503	rezerva	99	11
504	504	anamnesa	98	8
505	505	#.##.#### ##	97	2
506	506	celkova davka zareni	97	0
507	507	pece o operacni ranu	96	6
508	508	z anamnezy	96	8
509	509	ias	95	5
510	510	komplikujici dg.	94	8
511	511	th	94	6
512	512	onkologicka rozvaha	94	17
513	513	uz bricha #/####	93	19
514	514	stav pri ukonceni radioterapie	93	1
515	515	z dokumentace	93	15
516	516	mr mamm	92	2
517	517	posledni medikace v mou	92	4
518	518	zhodnoceni predch.vysl	92	12
519	519	trf	92	8
520	520	st.loclais	91	6
521	521	anamnesa cilene zamerena	91	8
522	522	docasne doporucena medikace	90	4
523	523	uz jater	90	19
524	524	vedl. chor	89	10
525	525	histologicke vysetreni	89	0
526	526	orient neurolog.	89	6
527	527	axilly a nadklicky	89	6
528	528	nu	88	8
529	529	dopor mk.	88	17
530	530	prubeh rt	88	17
531	531	ozarena oblast	88	5
532	532	aktualni nutricni potreba	87	5
533	533	mammarni komise	87	15
534	534	vedlejsi diagnozy	86	8
535	535	- pri prujmu	86	4
536	536	 interkurence	86	10
537	537	asistenti	85	5
538	538	zaver definitivniho histopatologickeho vysetreni	85	15
539	539	konziliarni onkologicka ambulance	84	3
540	540	antropometrie	84	8
541	541	vag	84	6
542	542	diagnozy	84	15
543	543	konsilium (anesteziologie)	83	5
544	544	ekg.	83	19
545	545	vnpi orientacne	83	0
546	546	zada	82	6
547	547	informovanost	82	3
548	548	##.#.#### operace	82	8
549	549	dmg	82	19
550	550	bilance	81	9
551	551	operace #.#.####	81	8
552	552	#.#.## provedena operace	81	8
553	553	epidur. katetr	81	3
554	554	termin biopsie	81	3
555	555	uzliny periferni	81	6
556	556	t	80	19
557	557	interkruence.	79	10
558	558	pri zacpe	79	4
559	559	fototyp	78	6
560	560	pro otce	78	0
561	561	koncetiny	77	8
562	562	ostatni dg.	77	8
563	563	 s_cea	77	12
564	564	souhrn	76	15
565	565	mitoticka aktivita	76	0
566	566	##.##	76	3
567	567	uzv bricha	76	19
568	568	skelet	76	2
569	569	nosohltan	75	6
570	570	pristi vizity	75	4
571	571	odeslal	75	3
572	572	telefonicky	75	8
573	573	soucasna aktivni onkologicka lecby	75	3
574	574	doporuceni chirurga	75	17
575	575	klasif.	74	15
576	576	#(mc)	74	11
577	577	od nevolnosti	74	4
578	578	duvod pozadavku	74	3
579	579	doporucena medikace	74	4
580	580	telefonicka konzultace s pacientkou	72	3
581	581	termin	72	3
582	582	ad radioterapiam	72	17
583	583	- klinicky nalez	71	13
584	584	st.p.rame vlevo s nalezem	71	15
585	585	pet/ct	71	2
586	586	informace pro pacienty	71	4
587	587	ad chirurgiam	71	17
588	588	nasledna pece	71	3
589	589	genetika	70	15
590	590	gyn.	70	6
591	591	uz horniho bricha	70	2
592	592	uz mammae a axil	70	19
593	593	kuze akutni	70	7
594	594	kontrola a prevaz	70	6
595	595	 #.#.#### ##	69	2
596	596	poj	69	3
597	597	ptv	69	5
598	598	terapeuticky zamer	68	3
599	599	rameno c	68	3
600	600	jaderny grade	68	3
601	601	histologie cgb laborator ostrava	68	15
602	602	tubularni formace	68	0
603	603	doporuceni mamarni komise	68	17
604	604	konsilium (chirurgie)	67	5
605	605	nutricni plan	67	4
606	606	pokryti nutricni potreby	67	8
607	607	 #.#.#### #	67	2
608	608	- s pozadavkem na	67	17
609	609	resekcni okraje	67	0
610	610	st. loc.	66	13
611	611	vedl. nalez	66	19
612	612	ostatni medikace	66	3
613	613	bez pacientky po operaci	66	3
614	614	##/#/## operace	66	0
615	615	tel. kontakt	66	8
616	616	ct nalez (dr.koukalova)	65	2
617	617	doporuceni genetika	65	3
618	618	intrekurence	65	10
619	619	doresekat	65	15
620	620	pro syna	65	0
621	621	denzitometrie ##.#.####	65	19
622	622	sumarne se snb	64	15
623	623	posledni gyn vys #/####	64	19
624	624	fyzikalni vysetreni	64	6
625	625	dk	64	6
626	626	mamma dx.	64	3
627	627	sono	64	2
628	628	ostatni diagnozy	64	8
629	629	necilove leze	63	19
630	630	toks	63	19
631	631	eflk teichholz	63	3
632	632	konziliarni onkol. ambulance	63	3
633	633	nalez scintigraficky	63	2
634	634	nul terapie	63	17
635	635	palp	63	6
636	636	tel kontakt	63	8
637	637	studiova medikace	62	4
638	638	anamneza cilene na mezidobi	62	8
639	639	histol. vysetreni	62	0
640	640	lokoreg.	62	13
641	641	#d plax	62	5
642	642	gynekologie #/##	61	19
643	643	tel.	61	0
644	644	st.localis|	61	6
645	645	per spec.	61	6
646	646	p_hemoglobin volny	60	12
647	647	st. lokalis	60	13
648	648	dutina ustni	60	13
649	649	 c#.#	60	5
650	650	gynekol. vys. ##.#.####	60	19
651	651	vysledky predchozich vysetreni	60	3
652	652	ress	60	5
653	653	st.p. operaci vlevo	59	15
654	654	melanomova komise	59	3
655	655	##.#.#### diagnosticka mg bilat.	59	19
656	656	pro bratra	59	0
657	657	konsilium (interna)	59	5
658	658	operace ##.##.####	59	8
659	659	biopsie (biopticke kleste resterilizovatelne-olympus)	58	3
660	660	 vzorky c. #	58	2
661	661	nove leze	58	3
662	662	levostranna mastectomie	58	3
663	663	mamma dx+lu	58	3
664	664	insuflace	57	3
665	665	sumacni snimek hrudniku [ep	57	2
666	666	pdl-# imunohistochemicky	57	6
667	667	vysledek def. histol.	57	0
668	668	mg + uz	56	19
669	669	e-cadherin	56	0
670	670	- medikace	56	3
671	671	 pc_protrombin.test-inr	56	12
672	672	pokryti potreby bilkovin	56	8
673	673	dalsi postup	56	17
674	674	ks	55	3
675	675	- pacientka odeslana pro	55	3
676	676	seznam ### zahrnutych genu	55	16
677	677	pro sestru a matku	55	0
678	678	rektum	55	6
679	679	boost mamma dx	55	3
680	680	prevence	55	8
681	681	cilena anam.	55	8
682	682	transf.	55	3
683	683	upozorneni (cave!)	55	19
684	684	spa	54	8
685	685	rt kontrola	54	5
686	686	periferni uzliny	54	6
687	687	resekcni linie negativni. angioinvaze	54	3
688	688	mk dopor.	54	17
689	689	st.loc.	54	13
690	690	sub	54	1
691	691	telef.	54	8
692	692	zaver histopatol. vysetreni	53	0
693	693	pro matku a sestru	53	0
694	694	#/#### progrese onemocneni	53	7
695	695	uz bricha ##/####	53	19
696	696	##.##.## provedena operace	52	8
697	697	fa.	52	9
698	698	z dodane dokumentace	52	19
699	699	ih	52	8
700	700	rano	52	3
701	701	hrudnik - plice	52	6
702	702	kultivace	52	8
703	703	##.#.#### gynekologie	51	19
704	704	#.vyborna	51	8
705	705	tumor/metastaza	51	3
706	706	dalsi lu leve axily	51	15
707	707	#.spatna	51	5
708	708	#.dobra	51	8
709	709	# snb	51	15
710	710	#.nedostatecna	51	15
711	711	#.prijatelna	51	5
712	712	st.lokalis	51	13
713	713	- doporuceni komise	51	17
714	714	posl gyn	50	3
715	715	mastectomie vpravo	50	17
716	716	energie	50	3
717	717	ekg ##/####	50	19
718	718	mg vysetreni	50	19
719	719	zhodnoceni predchozich vysl	50	3
720	720	ost dg	50	3
721	721	dosavadni efekt	50	3
722	722	mmg	49	19
723	723	dale	49	2
724	724	vedl. onem	49	19
725	725	#-##(mc)	49	11
726	726	stomatologicke vysetreni ##.#.####	49	19
727	727	ukonceni radioterapie	49	17
728	728	bostonska skala	49	3
729	729	o.	48	6
730	730	endokrinologie	48	3
731	731	stp.	48	8
732	732	##(mc)	48	11
733	733	uz prsou	48	19
734	734	#. vlevo (centralne)	48	3
735	735	cilove leze	48	19
736	736	#. vpravo (hkk)	48	3
737	737	##.#.#### ekg	48	19
738	738	chronicke medikace	48	3
739	739	studijni medikace	48	3
740	740	#/## echo-srdce	48	19
741	741	intolerance	48	3
742	742	* ##.#.#### ##	47	2
743	743	exprese v nadorovych bunkach	47	8
744	744	mamma dx + lu	47	3
745	745	dle ct plic	47	17
746	746	moc-u__ph	47	19
747	747	vedl. onem.	47	8
748	748	kontrola na ambulanci	47	3
749	749	laborator	47	12
750	750	telefonicka konzultace	47	3
751	751	mamma l. sin.	47	6
752	752	tel. konzultace	46	3
753	753	st.lok	46	13
754	754	rtg plic ##/####	46	19
755	755	enteralni vyziva	46	3
756	756	ct	46	2
757	757	in situ komponenta	46	0
758	758	neurologie	46	8
759	759	interkur.	46	8
760	760	nova leze	45	0
761	761	pro dcery	45	0
762	762	mamma sind	45	3
763	763	#.#.#### operace	45	8
764	764	kuze- exantem # hlava	45	13
765	765	#. cteni	45	3
766	766	minimalni resekcni okraje	45	15
767	767	onkologicka duplicita	45	15
768	768	- interkurence	45	8
769	769	fenotyp z core-cut	45	19
770	770	##/#### pd	45	15
771	771	a	44	8
772	772	pro syny	44	0
773	773	dalsi nalezy	44	2
774	774	ad#	44	15
775	775	pro sestru	44	0
776	776	mamma sin.	44	3
777	777	##.#. operace	43	3
778	778	echo srdce ##.#.##	43	19
779	779	denzitometrie ##/#/##	43	3
780	780	vedl. chor.	43	10
781	781	interni vysetreni	43	8
782	782	intekrurence	43	8
783	783	z biopsie	43	15
784	784	hkk	43	6
785	785	#. reresekce	42	0
786	786	mimoradna kontrola	42	3
787	787	gyn.-zevne	42	6
788	788	radioterapie	42	3
789	789	vedl.chor	42	10
790	790	efekt lecby	42	4
791	791	axila i nadkl	42	3
792	792	dg. res	42	3
793	793	interkruence	42	10
794	794	disekce axily	42	15
795	795	 - angioinvaze	42	3
796	796	anamnesticky	42	8
797	797	ad #	42	0
798	798	lokoreg	41	13
799	799	covid anamneza	41	8
800	800	mamarni komise	41	17
801	801	pro deti	41	0
802	802	oa stran ten	41	8
803	803	dopor mk .	41	3
804	804	ekg dnes	41	19
805	805	nalez z ldct obrazu	41	2
806	806	interkurenc.e	41	9
807	807	srovn. se scinti #/####	40	2
808	808	boost mamma sin	40	3
809	809	ffce	40	8
810	810	bez pacientky pred operaci	40	3
811	811	rtg hrudniku	40	19
812	812	zapis z mk ##.#.####	40	0
813	813	mk mou	40	15
814	814	usg prsu a axil	40	19
815	815	echo srdce #/####	40	19
816	816	imunohistochemicke vysetreni	40	0
817	817	pri propusteni	40	8
818	818	ecog	39	6
819	819	stomatologie	39	6
820	820	histol mou	39	0
821	821	covidova anamneza	39	8
822	822	##.#.#### usg bricha	39	19
823	823	mamma sin+lu	39	3
824	824	epidural. katetr	39	3
825	825	#.##.#### #	39	2
826	826	st.p	39	15
827	827	anamn	39	8
828	828	anamnest. stran subj. obtizi	39	19
829	829	hodnoceni	39	19
830	830	zachyceny skelet	39	2
831	831	pc_antitrombin	39	3
832	832	posl gyn prevence	39	19
833	833	obj. nalez	39	6
834	834	benigni laese	39	19
835	835	- rozvaha	38	17
836	836	vysledek histologie	38	8
837	837	sono bricha	38	19
838	838	prsy a axily	38	13
839	839	 lab. vysetreni	38	12
840	840	orient. neurol.nalez	38	8
841	841	oa.	38	10
842	842	bsa(m#)	38	3
843	843	zaver histologie	38	15
844	844	ad #) rezerva	38	11
845	845	uzliny souhrnne vcetne snb	38	15
846	846	ra stran ten	38	8
847	847	uz bricha ##.#.####	38	19
848	848	interkurence-pred zarazenim do studie	38	8
849	849	sono jater	37	19
850	850	ad #) prava mama	37	11
851	851	subject id	37	0
852	852	pocet frakci	37	0
853	853	no.	37	8
854	854	mk- doporuceni	37	17
855	855	v planu	37	3
856	856	zadatel	37	3
857	857	mkn	37	15
858	858	lokalizace pod uz kontrolou	36	2
859	859	s histol nalezem	36	15
860	860	#d lk(mm) - ivs	36	5
861	861	#) mamma l. sin.	36	0
862	862	interekurence	36	8
863	863	st. localis #	36	13
864	864	 ##.##.#### ##	36	2
865	865	gynekol. vys.	36	19
866	866	lks/d(mm) - ivs	36	5
867	867	echo srdce ##.#.####	36	3
868	868	osetreni	36	6
869	869	vysetreni pri propusteni	36	8
870	870	vedl.dg.	36	10
871	871	ct bricha	36	19
872	872	kontraindikace	35	3
873	873	zaludek	35	6
874	874	terap.	35	3
875	875	gyn.vys.	35	6
876	876	absolutni kontraindikace	35	3
877	877	zapis z mammarni komise	35	3
878	878	ihc	35	0
879	879	jak- #	35	3
880	880	nalez pri propusteni	35	8
881	881	gfs znojmo ##/#/##	35	19
882	882	relaps i	35	19
883	883	kolpo	35	6
884	884	vysledek bude zaslan	35	3
885	885	simplexni mastektomie vpravo	35	0
886	886	adjuv ht	35	15
887	887	pacientce bylo prideleno id	34	3
888	888	#/####	34	3
889	889	paralelne zmena chemo #.linie	34	3
890	890	(pred nacht z core-cut	34	15
891	891	relaps ii	34	19
892	892	dalsi lu axily	34	15
893	893	epikrize	34	8
894	894	#) mamma l. dx.	34	0
895	895	predoperacni pet/ct	34	15
896	896	doplnujici udaje	34	3
897	897	dalsi vizita	34	4
898	898	obj..	34	13
899	899	vyhodnoceni	34	19
900	900	sa+pa	34	8
